id,name
2101,background
0,Betula lenta
1,Urtica dioica
2,Amorpha fruticosa
3,Ricinus communis
4,Penstemon digitalis
5,Metrosideros excelsa
6,Asplenium bulbiferum
7,Hydrocotyle bonariensis
8,Castanea dentata
9,Callicarpa americana
10,Eichhornia crassipes
11,Calochortus tiburonensis
12,Drosera spatulata
13,Fagus grandifolia
14,Daphne laureola
15,Erysimum franciscanum
16,Schinus molle
17,Larix laricina
18,Eupatorium capillifolium
19,Stenocereus thurberi
20,Hymenopappus scabiosaeus
21,Helianthus tuberosus
22,Claytonia virginica
23,Geum triflorum
24,Cenchrus ciliaris
25,Lobelia siphilitica
26,Podophyllum peltatum
27,Calystegia sepium
28,Verbesina alternifolia
29,Cypripedium parviflorum pubescens
30,Tinantia anomala
31,Mesembryanthemum crystallinum
32,Viscum album
33,Panax trifolius
34,Carpobrotus edulis
35,Fouquieria splendens
36,Atrichoseris platyphylla
37,Persicaria perfoliata
38,Rhinanthus minor
39,Encelia farinosa
40,Ibervillea lindheimeri
41,Rubus allegheniensis
42,Earina autumnalis
43,Castilleja purpurea
44,Phacelia crenulata
45,Cylindropuntia bigelovii
46,Cylindropuntia echinocarpa
47,Ficaria verna
48,Amphiachyris dracunculoides
49,Cynara cardunculus
50,Leucophyllum frutescens
51,Pinus echinata
52,Kalmia latifolia
53,Pellaea andromedifolia
54,Potentilla anserina
55,Sonchus oleraceus
56,Dactylorhiza fuchsii
57,Viola bicolor
58,Corallorhiza mertensiana
59,Cicuta maculata
60,Aplectrum hyemale
61,Cirsium scariosum
62,Corallorhiza maculata
63,Monotropa uniflora
64,Viburnum dentatum
65,Stenosiphon linifolius
66,Melilotus officinalis
67,Echinocereus triglochidiatus
68,Echium candicans
69,Calypso bulbosa occidentalis
70,Quercus agrifolia
71,Rosa palustris
72,Osmunda regalis
73,Iris missouriensis
74,Carex lupulina
75,Polypogon monspeliensis
76,Chelone glabra
77,Hibiscus moscheutos
78,Clitoria mariana
79,Herbertia lahue
80,Lupinus texensis
81,Tillandsia usneoides
82,Allotropa virgata
83,Lonicera maackii
84,Polystichum munitum
85,Pluchea odorata
86,Asplenium flaccidum
87,Rubus cissoides
88,Coprosma foetidissima
89,Coprosma lucida
90,Gilia capitata
91,Astelia fragrans
92,Melicytus ramiflorus
93,Oxalis articulata
94,Olearia paniculata
95,Ilex verticillata
96,Viola adunca
97,Sambucus racemosa racemosa
98,Melothria pendula
99,Huperzia lucidula
100,Pedicularis densiflora
101,Alliaria petiolata
102,Toxicoscordion fremontii
103,Athyrium filix-femina
104,Nuphar lutea
105,Sorbus aucuparia
106,Fumaria capreolata
107,Platanus occidentalis
108,Sophora secundiflora
109,Brachyglottis repanda
110,Taxodium mucronatum
111,Veronica anagallis-aquatica
112,Apocynum cannabinum
113,Phoradendron leucarpum
114,Opuntia basilaris
115,Mimulus bigelovii
116,Marah fabacea
117,Bouvardia ternifolia
118,Gymnadenia conopsea
119,Ficinia spiralis
120,Juniperus californica
121,Melampodium leucanthum
122,Salvia farinacea
123,Salsola tragus
124,Plumeria rubra
125,Clematis pitcheri
126,Baccharis salicifolia
127,Xanthium strumarium
128,Scutellaria drummondii
129,Centaurea melitensis
130,Desmodium paniculatum
131,Nuphar advena
132,Paraserianthes lophantha
133,Ericameria nauseosa
134,Hypericum perforatum
135,Pyrola elliptica
136,Cyathea dealbata
137,Sabal palmetto
138,Hymenophyllum dilatatum
139,Ericameria linearifolia
140,Botrychium dissectum
141,Asplenium rhizophyllum
142,Cystopteris bulbifera
143,Dryopteris carthusiana
144,Dryopteris intermedia
145,Thelypteris palustris
146,Gymnocarpium dryopteris
147,Matteuccia struthiopteris
148,Artemisia californica
